question_id,question_text
26690360,"Title: How to verify HMAC java | Body: I've got the following code to compute Hmacs with a password:   public static void main(String[] args) throws NoSuchAlgorithmException, InvalidKeyException  {   String password = ""password123"";   SecretKeySpec keySpec = new SecretKeySpec(password.getBytes(), ""HmacSHA1"");    Mac mac = Mac.getInstance(""HmacSHA1"");   mac.init(keySpec);    byte[] result = mac.doFina"
29245710,"Title: Why my lambdas do not work? | Body: I struggle with making lambdas work. The code here is example, but it shows my problem well.  lambdas = list()  for i in range(5):     lambdas.append(lambda x:i*i*x)   print lambdas[0](1) print lambdas[2](1)   This give me 16, but I expect to have different value for different lambda. Why is happening! "
10314070,"Title: Java: How to convert a String into an subclass data type? | Body: I want to convert a String to an subclass data type, how can it be done? or it is possible?  I have a abstract class Acct  A public abstract class SinAcct extends Acct  A public class SavAcct extends SinAcct   In SavAcct, there is a constructor   public SavAcct(String acctNo, String name, ConsolidateAccount ownerAcct, double las"
31584230,"Title: Fragment communicating with an Activity | Body: I am confused about how communication with a Fragment and an Activity is made. For example, an interface was defined here (http://developer.android.com/intl/ko/training/basics/fragments/communicating.html).  public class HeadlinesFragment extends ListFragment {     OnHeadlineSelectedListener mCallback;      // Container Activity must implement th"
17366490,Title: Use Keychain before api level 14 | Body: I am working on an Android app with min API version 10 and target 17. I want to use KeyChain but it is not supported before ICS.  Can someone suggest something similar or a solution for this problem?  Thank you so much 
10010430,"Title: Strange thing With CTYPE_ALNUM | Body: i have this strange problem with the PHP function CTYPE_ALNUM  if i do:  PHP:     $words=""Ã Ã²Ã¨"";   if(ctype_alnum($words)){     Echo ""Don't work"";  }else{     Echo ""Work"";       }   this will echo out 'Work'  BUT if i have a form and in that form i insert the letters with the grave like (Ã  , Ã¨, Ã²) this will echo out 'Don't Work'   Code:    &lt;form a"
20373460,"Title: C# Word Interop encoding on pasting HTML from Clipboard | Body: In order to paste formatted HTML in a Word document, I am using this approach HtmlFragment that was recommended several times here. My problem now is the charset that is not recognized. I already add this in the HtmlFragment to generate proper encode:  &lt;meta http-equiv=""""Content-Type"""" content=""""text/html; charset=iso-8859-2"""" "
7875850,"Title: Java - Reversing words in a string | Body: This is our code:      import java.io.File; import java.io.FileNotFoundException; import java.util.*; import java.util.regex.Matcher; import java.util.regex.Pattern;  public class reverse {  public static void main(String[] args) throws FileNotFoundException {     File fil = new File(""textFile.txt"");     Scanner scan = new Scanner(fil);      while (sc"
30160340,"Title: NullPointerException on return new[] | Body: I have a very strange problem with NullPointerException. Code example is as follows:  ... ... public String[] getParams(...) { ...   ... ...   ...  143   return new String[] { 144     getUserFullName(), 145     StringUtil.formatDate(sent),  .      tiltu,  .      StringUtil.initCap(user.getName()),  .      vuosi.toString(),  .      asiatyyppi[0] + "" "
23745130,Title: Searching for the last instance of data in a list | Body: I have an assignment to write a function that searches for the last instance of data (integer in this case) in a list. The function breaks with access violation on the line with if statement.   Node* List::SearchLast (int val) {     Node* pLast=NULL;     Node* pNode=pHead;     while (pHead!=NULL)     {         if (pNode-&gt;data==val)  
