review,sentiment
"I loved this movie! I'm shocked and disappointed that it never made it to the theaters. Every story was better than the last..much better than the much hyped ""Scream"" series and ""I Know What You Did Last Summer""and way better than the terrible ""Urban Legend"". I'd recommend this film to every horror fan.",positive
"This movie was horrible and the only reason it was even made was because the story appealed to the far-left. I consider my self a moderate, so I was able to see this film as the pile of garbage it was. While I'm not a Bush fan, your dislike for GW is not enough of a reason to see this movie.<br /><br />To start, the movie was shot on such low-grade film that it comes off as cheap, rather then artsy. Additionally, the characters are seriously lacking in depth. Chris Cooper's character was a poor parody of George Bush; better suited for Saturday Night Live then a Dramatic film. The rest of the characters are walking clichés and are poor facsimiles of other characters from much better movies.<br /><br />Avoid this movie at all costs!",negative
"slow, incomprehensible, boring. Three enthusiastic words that describe the movie of the book. This is surely a case where the movie should never have been made at the expense of the book. The best part of the movie was the scenery, excellent. The worst part was the slow moving interactions of the actors which combined with endless meaningful glances. The editing is abrupt and patchy. However, despite this, the actors worked very hard at least trying to be a little believable with a terrible script. It was startling that although set in Peru there was hardly a person of Peruvian descent wandering about the set - even in the flashback scenes depicting Peru in the 17th century. If you have any sense of history, try to avoid this movie.",negative
"Kubrick again puts on display his stunning ability to craft a perfect ambiance for a film. Mainly through cinematography, but also using an ingenious score, he creates a chilling and ominous tone that resides over the entire film and thoroughly gets my spine tingling from the start. It really is this flawless ambiance that makes The Shining the masterpiece that it is, in my eyes. Of course it doesn't hurt that Jack Nicholson gives one of the greatest performances I've ever seen. A frighteningly authentic portrayal of a mind gone mad. Duvall and Lloyd are artificial, to be nice, but it's easy to look past those two when the rest of the film is so brilliant. Plus it features the actor with the greatest name of all time (Scatman Crothers).",positive
"OK, I wanted to see this because it had a few good reviews, but this movie was awful... Just plain awful. The characters were 1 dimensional and nothing the actors could do could ever breathe any life into them. The story was abysmal... The wind stopped becoming a plot device halfway through... It just completely becomes forgotten. The visuals while were cool were sooooo drawn out... 5 minutes of a guy crawling on the ground, 3 minutes of a girl putting on her makeup. I don't know what this guy is trying to pull off... it's like he had no plot no dialog and the movie needed to run just so long so lets not edit scenes at all... Foreign films are great for creating a story without using a lot of dialog, this movie makes me think that there is no way American cinema can ever do this. I want to give up watching movies altogether... Bad Bad Movie!",negative
"I suppose the ultimate curse of attending the Toronto Film Festival is your release date time table get messed up. Quite frankly, I'm just happy Fido got picked up for US distribution. In any case...<br /><br />Ever seen Shaun of the Dead? Good. How about Lassie? Able to reconcile the two? Well, if you can your name might be Andrew Currie, Canadian helmer of the first ever family themed zombie comedy, or zomedy. (Seriously, that's what the press book in Toronto called it.) Though not as violent, dry, or British as Shaun of the Dead, Fido remains true to its roots: a devotion to old 50s black and white television including both Lassie and the infamous sci-fi pulp that was being pumped out during the period.<br /><br />Fido's talented headliners (Carrie Anne Moss, Billy Connelly, Dylan Baker, and Tim Blake Nelson) stand as a testament to the brilliance of the script. The film explores all the implications of its premise: a world where zombies have been converted to servants because of the sheer number of them due to a strange accident. What would you use your new undead servant for? A butler? Manual labor? A pet? Unspeakable acts? Fido tackles all these possibilities in a sweet and surprisingly classy way, with much thanks to the work of Connelly (as one of said zombies) and young TV actor K'Sun Ray, who seems at times to be a better young Elijah Wood than the young Elijah Wood was.<br /><br />If you're expecting another Shaun of the Dead, don't waste your time. There's not nearly enough gore and pokes at the genre to satisfy you and you'll just leave the theater bitter and depressed. But if you're willing to take a look at what happens to Shaun of the Dead when it jumps across the lake, you're in for a treat. Think of Fido as the sensitive, more often beaten up little brother to Shaun of the Dead's rebellious loser, and you're starting to get the drift. If you like (or at least tolerate) zombies, small children, and loads of deadpan satire, Fido's the film for you. If that's not the case....well, you know the drill. Just hit 'em square between the eyes.",positive
"New rule. Nobody is allowed to make any more Zombie movies unless they actually come up with an original idea.<br /><br />Sadly, this movie doesn't. They have the premise that Bounty hunters go out and kill Zombies and prove it by cutting off their fingers. Well, problems with that. Most people have ten fingers, why not just collect ten bounties for one Zombie? Why not just kill a regular person and pass that off as a Zombie finger? <br /><br />Not to mention the utter silliness of hunting zombies with a bolt action rifle.<br /><br />I sometimes think films like this are resume fillers for makeup and FX guys. ""Hey, this is what I did with ten dollars and some recylced bottles deposit. Imagine what I could do if you gave me a BUDGET!"" Do you think anyone goes to drama school or cinema school to star in a Zombie movie? ""I went to the School of the Arts. Check me out as the ""Tunnel Zombie"" in ""Quick and the Undead""."" His mother must be so proud.<br /><br />These had to be the wimpiest Zombies ever, as a whole crowed of them apparently couldn't push down a wooden door or even break a glass window. No, they had to wait for the bounty hunter to open the door for them...",negative
"Witchcraft/Witchery/La Casa 4/ and whatever else you wish to call it. How about..Crud.<br /><br />A gathering of people at a Massachusetts island resort are besieged by the black magic powers of an evil witch killing each individual using cruel, torturous methods. Photographer Gary(David Hasselhoff)is taking pictures for Linda(Catherine Hickland whose voice and demeanor resemble EE-YOR of the Winnie the Poo cartoon), a virgin studying witchcraft, on the island resort without permission. Rose Brooks(Annie Ross, portraying an incredibly rude bitch)is interested in perhaps purchasing the resort and, along with husband Freddie(Robert Champagne, who is always ogling other women much younger than him), pregnant daughter Jane(Linda Blair)and grandson Tommy(Michael Manchester, who just looks bored throughout, probably wanting to watch Sesame Street instead of starring in this rubbish), go by boat to the resort being treated to a look at the property by Realtor Tony Giordano's son Jerry(Rick Farnsworth), obviously a pup in the business getting his feet wet. Along with these folks is architect Leslie(Leslie Cumming, whose character is a nympho)who might help Rose re-design the resort. The boat's captain is killed by The Lady in Black(Hildegard Knef, wearing her make-up and lip-stick extra thick)and a storm is brewing. The boat drives off by itself(..guided by the invisible power of The Lady in Black, I guess)with everyone stuck in the decrepit resort, which is in dire need of repairs. Most of the victims, before meeting their grisly fates are carried through a type of red wormhole whose vortex leads to another dimension(..perhaps a type of hell or something)where they are tortured by these fiends dressed in raggedy clothes with a crummy visage. One victim has her mouth sown before being hung upside down in a chimney, roasted as the others light the fireplace. One poor soul is tortured by harsh twistings of rope wrapped tightly around her flesh before being found hanging from the snout of a swordfish penetrating through her neck. One fellow is slowly suffocating as his veins bulge(..and bleed) and neck's blood vessels burst squirting in Hasselhoff's face! One fellow is crucified with nails hammered into his hands before being hung upside down over an open flame. Blair's pregnant victim becomes possessed with her hair standing on end speaking in another woman's voice. One is raped by this demonic man with a ""diseased"" mouth as the hellish hobos stand nearby gleefully cheering. The film, despite it's excesses, is mostly dull fodder for those who really wish to see the lowest point in the careers of Hasselhoff and Blair, who deserve better than this. Almost unbearable at times, building little-to-no suspense. Clumsy execution of the death sequences which look cheap and laughable. Sure some gore is okay, but most of the film shows victims after they've been run through the ringer. We do get a chance to see pregnant women(..who look exactly like stuntmen in costume with bad wigs) jumping out three story windows. Oh, and The Lady in Black's reflected face often pops up on inanimate objects for characters to see. Tommy has a little Sesame Street recorder which tapes The Lady in Black's mumbo jumbo chants, obviously used for later. For some reason, The Lady in Black likes to visit little Tommy. He's not at all scared of her, for Tommy's just too bored to show any expression on his face, much less fear. Need I say more? This one's a real stinker. Ugh.",negative
"I think that COMPLETE SAVAGES is a very good TV show and they should make many more episodes. It is one of my favourites!!!! It is very funny and it is really good acting. I say that you should give them a chance to do more episodes. Iknow that they can and they should!!!! They should put COMPLETE SAVAGES on NICKELODEON more than what they do! I'm sure that many people will agree with me!!!!! I like the TV show because it is a very good programme for people our age and it is very funny. I also like COMPLETE SAVAGES because it isn't always about the same thing and things that happen could be real, unlike other YV programmes. When they advertised it, I didn't like the sound of it, but I watched it for the first time and I loved it. COMPLETE SAVAGES is an excellent comedy and I miss it being on TV!!!!!!!!!! I can't really compare COMPLETE SAVAGES with any other TV series because it is different!!!!",positive
"The sequel that no one asked for to the movie no one wanted. There are obviously too many flaws with this movie to name here, so I'll just concentrate on the acting. Miles O'Keefe would have been better suited to play the spritely Asian sidekick Thong, mainly because he would then have no dialogue. Lisa Foster delivers her lines displaying one emotion, dullness. Charles Borremel brings life to his part by pausing every five words. And finally the flamboyant, John Saxon-type guy......no comment is needed.<br /><br />See ""Conan the Barbarian"" if you need to, but don't waste your time with this low-budget loser.",negative
